Time,Value
1,
101,"676
676
"
201,"676
"
301,"676
"
401,"676
"
501,"676
"
601,"676
"
701,"676
"
801,"676
"
901,"676
"
1001,"676
"
1101,"676
"
1201,"676
"
1301,"676
"
1401,"676
"
1501,"676
"
1601,"676
"
1701,"676
"
1801,"676
"
1901,"676
"
2001,"676
"
2101,"676
"
2201,"676
"
2301,"676
"
2401,"676
"
2501,"676
"
2601,"677
"
2701,"677
"
2801,"676
"
2901,"676
"
3001,"676
"
3101,"676
"
3201,"676
"
3301,"676
"
3401,"676
"
3501,"676
"
3601,"676
"
3701,"676
"
3801,"676
"
3901,"676
"
4001,"676
"
4101,"676
"
4201,"676
"
4301,"676
"
4401,"676
"
4501,"676
"
4601,"676
"
4701,"676
"
4801,"676
"
4901,"676
"
5001,"676
"
5101,"676
"
5201,"676
"
5301,"676
"
5401,"676
"
5501,"676
"
5601,"676
"
5701,"676
"
5801,"676
"
5901,"676
"
6001,"676
"
6101,"676
"
6201,"676
"
6301,"676
"
6401,"676
"
6501,"676
"
6601,"676
"
6701,"676
"
6801,"676
"
6901,"676
"
7001,"676
"
7101,"676
"
7201,"676
"
7301,"676
"
7401,"676
"
7501,"676
"
7601,"676
"
7701,"676
"
7801,"676
"
7901,"676
"
8001,"676
"
8101,"676
"
8201,"676
"
8301,"676
"
8401,"676
"
8501,"676
"
8601,"676
"
8701,"676
"
8801,"676
"
8901,"676
"
9001,"676
"
9101,"676
"
9201,"676
"
9301,"676
"
9401,"676
"
9501,"676
"
9601,"676
"
9701,"676
"
9801,"677
"
9901,"676
"
