Time,Value
1,
101,"1023
1023
"
201,"1023
"
301,"1023
"
401,"1023
"
501,"1023
"
601,"1023
"
701,"1023
"
801,"1023
"
901,"1023
"
1001,"1023
"
1101,"1023
"
1201,"1023
"
1301,"1023
"
1401,"1023
"
1501,"1023
"
1601,"1023
"
1701,"1023
"
1801,"1023
"
1901,"1023
"
2001,"1023
"
2101,"1023
"
2201,"1023
"
2301,"1023
"
2401,"1023
"
2501,"1023
"
2601,"1023
"
2701,"1023
"
2801,"1023
"
2901,"1023
"
3001,"1023
"
3101,"1023
"
3201,"1023
"
3301,"1023
"
3401,"1023
"
3501,"1023
"
3601,"1023
"
3701,"1023
"
3801,"1023
"
3901,"1023
"
4001,"922
"
4101,"903
"
4201,"871
"
4301,"836
"
4401,"0
"
4501,"0
"
4601,"0
"
4701,"0
"
4801,"0
"
4901,"0
"
5001,"0
"
5101,"0
"
5201,"0
"
5301,"0
"
5401,"0
"
5501,"0
"
5601,"0
"
5701,"0
"
5801,"0
"
5901,"0
"
6001,"0
"
6101,"0
"
6201,"0
"
6301,"0
"
6401,"0
"
6501,"0
"
6601,"0
"
6701,"0
"
6801,"0
"
6901,"0
"
7001,"0
"
7101,"0
"
7201,"0
"
7301,"0
"
7401,"0
"
7501,"0
"
7601,"0
"
7701,"0
"
7801,"0
"
7901,"0
"
8001,"0
"
8101,"0
"
8201,"0
"
8301,"0
"
8401,"0
"
8501,"0
"
8601,"0
"
8701,"0
"
8801,"0
"
8901,"0
"
9001,"0
"
9101,"0
"
9201,"0
"
9301,"0
"
9401,"0
"
9501,"0
"
9601,"0
"
9701,"0
"
9801,"0
"
9901,"0
"
