Time,Value
103,
207,"676
676
"
311,"676
"
416,"676
"
516,"676
"
621,"676
"
723,"676
"
829,"676
"
934,"676
"
1036,"676
"
1139,"676
"
1240,"676
"
1345,"676
"
1448,"676
"
1553,"676
"
1658,"676
"
1760,"676
"
1865,"676
"
1970,"676
"
2072,"676
"
2177,"676
"
2281,"676
"
2384,"676
"
2488,"676
"
2591,"676
"
2694,"676
"
2798,"676
"
2902,"676
"
3007,"676
"
3111,"676
"
3215,"676
"
3320,"676
"
3425,"676
"
3530,"676
"
3635,"676
"
3739,"677
"
3844,"676
"
3948,"675
"
4054,"676
"
4155,"676
"
4256,"677
"
4358,"676
"
4462,"676
"
4566,"676
"
4670,"676
"
4775,"676
"
4881,"676
"
4985,"676
"
5087,"676
"
5189,"676
"
5294,"676
"
5399,"676
"
5503,"676
"
5604,"676
"
5704,"676
"
5810,"676
"
5914,"676
"
6016,"676
"
6116,"676
"
6221,"676
"
6324,"676
"
6424,"676
"
6529,"676
"
6634,"676
"
6737,"676
"
6843,"676
"
6947,"676
"
7048,"676
"
7149,"676
"
7252,"676
"
7354,"676
"
7454,"676
"
7558,"676
"
7663,"676
"
7768,"676
"
7872,"676
"
7975,"676
"
8079,"676
"
8183,"676
"
8288,"676
"
8389,"676
"
8489,"676
"
8590,"676
"
8695,"676
"
8799,"676
"
8900,"676
"
9005,"676
"
9107,"676
"
9212,"676
"
9316,"676
"
9417,"676
"
9522,"676
"
9626,"676
"
9727,"676
"
9831,"676
"
9934,"676
"
10038,"676
"
10143,"676
"
10248,"676
"
10350,"676
"
