Time,Value
105,
210,"676
676
"
315,"676
"
419,"676
"
521,"676
"
626,"676
"
728,"676
"
828,"676
"
930,"676
"
1035,"676
"
1139,"677
"
1245,"676
"
1346,"676
"
1451,"676
"
1552,"676
"
1656,"676
"
1757,"676
"
1862,"676
"
1965,"676
"
2070,"676
"
2173,"676
"
2278,"676
"
2379,"676
"
2482,"676
"
2587,"676
"
2692,"676
"
2795,"676
"
2899,"676
"
3003,"676
"
3108,"676
"
3209,"676
"
3310,"676
"
3410,"676
"
3511,"676
"
3611,"677
"
3713,"676
"
3817,"676
"
3920,"676
"
4021,"676
"
4124,"676
"
4229,"676
"
4329,"676
"
4430,"676
"
4531,"676
"
4635,"676
"
4740,"676
"
4840,"676
"
4940,"676
"
5043,"676
"
5145,"676
"
5245,"677
"
5350,"676
"
5452,"676
"
5557,"676
"
5658,"676
"
5759,"676
"
5860,"676
"
5962,"676
"
6063,"676
"
6168,"676
"
6270,"676
"
6375,"676
"
6475,"676
"
6580,"676
"
6682,"676
"
6785,"676
"
6886,"676
"
6991,"676
"
7094,"676
"
7195,"676
"
7300,"676
"
7402,"676
"
7507,"676
"
7608,"676
"
7709,"676
"
7810,"676
"
7914,"676
"
8015,"676
"
8120,"676
"
8225,"676
"
8329,"676
"
8434,"676
"
8536,"676
"
8637,"676
"
8742,"676
"
8845,"676
"
8950,"676
"
9055,"676
"
9160,"676
"
9265,"676
"
9370,"676
"
9473,"676
"
9578,"676
"
9679,"676
"
9783,"676
"
9888,"676
"
9991,"676
"
10096,"676
"
10201,"676
"
10303,"676
"
